Almacen,Código de barras,Stock min,ROP,Stock Max
CEDIS,527,0,0,0
CEDIS,528,0,0,0
CEDIS,529,0,0,0
CEDIS,530,0,0,0
CEDIS,531,0,0,0
CEDIS,532,0,0,0
CEDIS,533,1,2,3
CEDIS,534,0,0,0
CEDIS,535,0,0,0
CEDIS,536,0,0,0
CEDIS,537,0,0,0
CEDIS,538,0,0,0
CEDIS,539,0,0,0
CEDIS,540,0,0,0
CEDIS,541,0,0,0
CEDIS,542,0,0,0
CEDIS,544,1,2,3
CEDIS,545,0,0,0
CEDIS,546,0,0,0
CEDIS,547,0,0,0
CEDIS,548,0,0,0
CEDIS,549,0,0,0
CEDIS,550,0,0,0
CEDIS,551,0,0,0
CEDIS,552,0,0,0
CEDIS,553,0,0,0
CEDIS,554,0,0,0
CEDIS,555,0,0,0
CEDIS,743,0,0,0
CEDIS,800,0,0,0
CEDIS,801,0,0,0
CEDIS,802,0,0,0
CEDIS,803,2,3,5
CEDIS,1300,0,0,0
CEDIS,1301,1,2,3
CEDIS,1302,2,3,6
CEDIS,1303,1,2,3
CEDIS,1304,0,0,0
CEDIS,1305,2,3,5
CEDIS,1306,0,0,0
CEDIS,2001,1427,1791,3220
CEDIS,2003,0,0,0
CEDIS,2004,0,0,0
CEDIS,2005,0,0,0
CEDIS,2006,0,0,0
CEDIS,2009,0,0,0
CEDIS,2010,0,0,0
CEDIS,2011,4,6,10
CEDIS,2012,0,0,0
CEDIS,2013,1,2,3
CEDIS,2015,2,8,11
CEDIS,2846,1,2,3
CEDIS,3000,20,26,46
CEDIS,5028,0,0,0
CEDIS,6018,0,0,0
CEDIS,6020,0,0,0
CEDIS,6097,0,0,0
CEDIS,6137,0,0,0
CEDIS,6175,0,0,0
CEDIS,6221,0,0,0
CEDIS,6487,4,5,10
CEDIS,6490,0,0,0
CEDIS,6622,1,2,3
CEDIS,6662,0,0,0
CEDIS,6665,0,0,0
CEDIS,6727,0,0,0
CEDIS,6732,16,23,39
CEDIS,7117,0,0,0
CEDIS,10000,0,0,0
CEDIS,13039,0,0,0
CEDIS,85049,0,0,0
CEDIS,85050,0,0,0
CEDIS,85051,0,0,0
CEDIS,85052,0,0,0
CEDIS,85053,0,0,0
CEDIS,85054,0,0,0
CEDIS,85055,0,0,0
CEDIS,85056,0,0,0
CEDIS,123456,0,0,0
CEDIS,159357,0,0,0
CEDIS,654321,0,0,0
CEDIS,4002066,0,1,1
CEDIS,G238,0,0,0
CEDIS,5230105,0,0,0
CEDIS,5610108,1,2,3
CEDIS,6101116,0,0,0
CEDIS,6683595,0,0,0
CEDIS,30106659,6,10,16
CEDIS,53131613,1,2,3
CEDIS,3304990000,0,0,0
CEDIS,19962494116,0,0,0
CEDIS,19962494215,1,2,3
CEDIS,19962494314,1,2,3
CEDIS,19962494413,0,0,0
CEDIS,19962494512,0,0,0
CEDIS,40232608292,0,0,0
CEDIS,60748000199,0,0,0
CEDIS,60748000472,0,0,0
CEDIS,60748001001,0,0,0
CEDIS,60748003718,0,0,0
CEDIS,70501010105,0,0,0
CEDIS,70501050651,0,0,0
CEDIS,70501060902,0,0,0
CEDIS,70501092002,0,0,0
CEDIS,70501092408,0,0,0
CEDIS,70501100134,0,0,0
CEDIS,90205022983,0,0,0
CEDIS,90205025335,0,0,0
CEDIS,90205025403,0,0,0
CEDIS,90205077563,0,0,0
CEDIS,90205077709,0,0,0
CEDIS,198168067376,0,0,0
CEDIS,198168129081,0,0,0
CEDIS,198168409480,0,0,0
CEDIS,198168739686,0,0,0
CEDIS,300093331020,6,9,15
CEDIS,326480044687,1,3,4
CEDIS,328270388497,14,18,32
CEDIS,337220000273,1,2,3
CEDIS,358892100309,2,3,5
CEDIS,358892101504,3,5,8
CEDIS,358892102044,0,0,0
CEDIS,358892103300,2,3,5
CEDIS,358892106851,1,2,3
CEDIS,358892113156,3,5,8
CEDIS,358892119011,1,2,3
CEDIS,358892122301,4,6,9
CEDIS,358892123308,1,2,4
CEDIS,358892129065,1,2,3
CEDIS,358892131501,1,4,5
CEDIS,358892132508,2,3,5
CEDIS,358892133505,1,2,3
CEDIS,358892134502,0,0,0
CEDIS,358892317011,2,3,5
CEDIS,358892318018,0,0,0
CEDIS,358892319015,2,4,5
CEDIS,358892326501,72,93,163
CEDIS,358892326853,7,10,17
CEDIS,358892336500,16,24,40
CEDIS,358892911882,0,0,0
CEDIS,362031536935,0,0,0
CEDIS,362032050010,0,0,0
CEDIS,362032050089,0,0,0
CEDIS,362032050522,0,0,0
CEDIS,362032050539,1,2,3
CEDIS,362032050546,0,0,0
CEDIS,362032050553,0,0,0
CEDIS,362032050560,0,0,0
CEDIS,362032065038,0,0,0
CEDIS,362032065243,1,2,3
CEDIS,362032065359,0,0,0
CEDIS,362032066011,0,0,0
CEDIS,362032070018,1,2,3
CEDIS,362032070056,0,0,0
CEDIS,362032070063,1,2,3
CEDIS,362032070131,1,2,3
CEDIS,362032070179,0,0,0
CEDIS,362032070193,1,2,3
CEDIS,362032070209,0,0,0
CEDIS,362032070445,0,0,0
CEDIS,362032070452,0,0,0
CEDIS,362032070582,0,0,0
CEDIS,362032072029,0,0,0
CEDIS,362032077680,0,0,0
CEDIS,362032079097,0,0,0
CEDIS,362032087909,0,0,0
CEDIS,362032100364,1,2,3
CEDIS,362032101361,1,2,3
CEDIS,362032116365,0,0,0
CEDIS,362032140100,0,0,0
CEDIS,362032161037,0,0,0
CEDIS,362032610047,0,0,0
CEDIS,362032612041,0,0,0
CEDIS,362032650074,0,0,0
CEDIS,362032811093,0,0,0
CEDIS,390205022694,5,8,12
CEDIS,390205022878,4,6,10
CEDIS,390205022892,5,8,13
CEDIS,390205025008,16,24,39
CEDIS,390205025107,0,0,0
CEDIS,390205025121,0,0,0
CEDIS,390205025206,11,16,27
CEDIS,390205025367,0,0,0
CEDIS,390205025787,18,25,42
CEDIS,390205025824,2,3,5
CEDIS,608819261133,0,0,0
CEDIS,608819261164,3,5,8
CEDIS,608819261195,4,6,10
CEDIS,609207621133,66,87,155
CEDIS,635494310207,5,7,12
CEDIS,635494314120,0,0,0
CEDIS,635494314205,13,18,31
CEDIS,635494316124,0,0,0
CEDIS,635494317121,0,0,0
CEDIS,635494317206,5,7,12
CEDIS,635494323122,0,0,0
CEDIS,635494327120,0,0,0
CEDIS,635494327205,3,4,7
CEDIS,635494328202,4,6,10
