Almacen,Código de barras,Stock min,Stock Max
Sucursal Centro,5201279073060,0,0
Sucursal Centro,5201279073541,0,0
Sucursal Centro,5201279073022,0,0
Sucursal Centro,5201279072988,0,0
Sucursal Centro,5201279072513,0,0
Sucursal Centro,5201279072308,0,0
Sucursal Centro,5201279072520,0,0
Sucursal Centro,5201279072315,0,0
Sucursal Centro,5201279272360,0,0
Sucursal Centro,5201279072155,0,0
Sucursal Centro,5201279072384,0,0
Sucursal Centro,5201279072179,0,0
Sucursal Centro,5201279072452,0,0
Sucursal Centro,5201279072247,0,0
Sucursal Centro,5201279072407,0,0
Sucursal Centro,5201279072193,0,0
Sucursal Centro,5201279072377,0,0
Sucursal Centro,5201279072162,0,0
Sucursal Centro,5201279072445,0,0
Sucursal Centro,5201279072230,0,0
Sucursal Centro,5201279072421,0,0
Sucursal Centro,5201279072216,0,0
Sucursal Centro,5201279072483,0,0
Sucursal Centro,5201279076849,0,0
Sucursal Centro,5201279072438,0,0
Sucursal Centro,5201279072223,0,0
Sucursal Centro,5201279072353,0,0
Sucursal Centro,5201279072148,0,0
Sucursal Centro,5201279071721,0,0
Sucursal Centro,5201279070373,0,0
Sucursal Centro,5201279073350,0,0
Sucursal Centro,5201279073367,0,0
Sucursal Centro,5201279073343,0,0
Sucursal Centro,5201279080860,0,0
Sucursal Centro,5201279074395,0,0
Sucursal Centro,5201279073015,0,0
Sucursal Centro,5201279073558,0,0
Sucursal Centro,5201279073046,0,0
Sucursal Centro,5201279071073,0,0
Sucursal Centro,5201279094614,0,0
Sucursal Centro,5201279072933,0,0
Sucursal Centro,5201279080426,0,0
Sucursal Centro,5201279080402,0,0
Sucursal Centro,5201279073251,0,0
Sucursal Centro,5201279070342,0,0
Sucursal Centro,5201279073244,0,0
Sucursal Centro,5201279070335,0,0
Sucursal Centro,5201279074210,0,0
Sucursal Centro,5201279073220,0,0
Sucursal Centro,5201279073077,0,0
Sucursal Centro,5201279073039,0,0
Sucursal Centro,5201279071745,0,0
Sucursal Centro,5201279073503,0,0
